userId,SR,n_recomendados,n_test,precision,recall,f1,mae,ndcg
81,BC,50,13,0.02,0.08333333333333333,0.03225806451612903,0.964039259233584,0.05134082572258367
81,Col,50,13,0.02040816326530612,0.08333333333333333,0.032786885245901634,0.8666944325595383,0.03715132050492963
81,Hibrido,50,13,0.07692307692307693,0.08333333333333333,0.08,0.468015442506287,0.0580628673825967
96,BC,50,6,0.04,0.3333333333333333,0.07142857142857142,0.47368625796370223,0.1332634641353612
96,Col,50,6,0.047619047619047616,0.3333333333333333,0.08333333333333333,0.32935912098727105,0.19371857265186904
96,Hibrido,50,6,0.0,0.0,0.0,1.5632555199906453,0.0
122,BC,50,8,0.02,0.5,0.038461538461538464,1.410026954536689,0.12621440746277704
122,Col,50,8,0.0,0.0,0.0,0.7657709727622531,0.0
122,Hibrido,50,8,0.0,0.0,0.0,0.58429612794506,0.0
188,BC,50,14,0.08,0.8,0.14545454545454545,1.1579159625205115,0.3980943275242109
188,Col,50,14,0.04,0.4,0.07272727272727272,0.7515946515244729,0.13016688822535402
188,Hibrido,50,14,0.07692307692307693,0.4,0.12903225806451613,1.1607262229948647,0.1808144462509219
201,BC,50,12,0.08,0.4444444444444444,0.13559322033898308,0.7449082384173498,0.31892272685090034
201,Col,50,12,0.1282051282051282,0.5555555555555556,0.20833333333333334,0.8072789092750853,0.35109884462356905
201,Hibrido,50,12,0.5,0.1111111111111111,0.1818181818181818,1.4736123411665805,0.12418260982383837
205,BC,50,10,0.0,0.0,0.0,,0.0
205,Col,50,10,0.02,0.14285714285714285,0.03508771929824562,0.08787893919615541,0.08776193210173587
205,Hibrido,50,10,0.0,0.0,0.0,,0.0
270,BC,50,11,0.06,0.2727272727272727,0.09836065573770492,0.5069530620501418,0.1834513439901169
270,Col,50,11,0.04,0.18181818181818182,0.06557377049180327,0.2654449048962211,0.08349281553511484
270,Hibrido,50,11,0.0,0.0,0.0,0.8320933763014449,0.0
288,BC,50,10,0.0,0.0,0.0,,0.0
288,Col,50,10,0.0,0.0,0.0,1.252958575656531,0.0
288,Hibrido,50,10,0.0,0.0,0.0,0.3993037146654155,0.0
363,BC,50,24,0.06,0.23076923076923078,0.09523809523809523,1.0101339597671435,0.10982198171560954
363,Col,50,24,0.04,0.15384615384615385,0.0634920634920635,0.7135114760249449,0.09210392657516382
363,Hibrido,50,24,0.0,0.0,0.0,1.2395399103087328,0.0
383,BC,50,9,0.02,1.0,0.0392156862745098,0.9261739697909219,0.27023815442731974
383,Col,50,9,0.02,1.0,0.0392156862745098,0.7889117295441692,0.33333333333333337
383,Hibrido,50,9,0.16666666666666666,1.0,0.2857142857142857,0.6734536326023969,0.3868528072345416
384,BC,50,39,0.0,0.0,0.0,,0.0
384,Col,50,39,0.02,0.05555555555555555,0.029411764705882353,1.191924757441487,0.06296108821100839
384,Hibrido,50,39,0.0,0.0,0.0,0.8343847655844353,0.0
385,BC,50,16,0.08,0.5714285714285714,0.14035087719298248,0.8991745959351832,0.3460081600590991
385,Col,50,16,0.06,0.42857142857142855,0.10526315789473684,0.3032100099799419,0.24724847440301187
385,Hibrido,50,16,0.25,0.14285714285714285,0.18181818181818182,1.0329831491575623,0.15594946512820457
400,BC,50,9,0.04,0.2857142857142857,0.07017543859649124,0.8023771786416785,0.10459417311301757
400,Col,50,9,0.02,0.14285714285714285,0.03508771929824562,0.548432789106843,0.07865565998385986
400,Hibrido,50,9,0.0625,0.14285714285714285,0.08695652173913043,1.0697554587949658,0.08444237377909056
420,BC,50,11,0.04,0.2857142857142857,0.07017543859649124,0.9319551839473101,0.1363550965088565
420,Col,50,11,0.04,0.2857142857142857,0.07017543859649124,0.7478895135496197,0.12115198628172782
420,Hibrido,50,11,0.0,0.0,0.0,0.9797770409067897,0.0
442,BC,50,25,0.16,0.36363636363636365,0.2222222222222222,0.3425453242071944,0.38446630301947493
442,Col,50,25,0.1836734693877551,0.4090909090909091,0.2535211267605634,1.0302834318505836,0.28257031922481807
442,Hibrido,50,25,0.23076923076923078,0.13636363636363635,0.1714285714285714,1.3879868006760332,0.1837957798885169
481,BC,50,32,0.1,0.1724137931034483,0.1265822784810127,0.7750924533755522,0.13329840955203204
481,Col,50,32,0.12,0.20689655172413793,0.1518987341772152,0.6286452157543031,0.19682458141452217
481,Hibrido,50,32,0.3333333333333333,0.06896551724137931,0.1142857142857143,1.2198880175970312,0.10487822569551451
524,BC,50,5,0.0,0.0,0.0,,0.0
524,Col,50,5,0.02040816326530612,0.3333333333333333,0.03846153846153846,0.6469907572979077,0.08255667011509893
524,Hibrido,50,5,0.0,0.0,0.0,1.2246571083769426,0.0
610,BC,50,6,0.0,0.0,0.0,,0.0
610,Col,50,6,0.0,0.0,0.0,,0.0
610,Hibrido,50,6,0.0,0.0,0.0,0.7956788537466539,0.0
612,BC,50,6,0.02,0.5,0.038461538461538464,0.7264627376846926,0.11599481765363842
612,Col,50,6,0.0,0.0,0.0,1.9586960108749514,0.0
612,Hibrido,50,6,0.0,0.0,0.0,0.8295505488605532,0.0
620,BC,50,10,0.0,0.0,0.0,,0.0
620,Col,50,10,0.024390243902439025,0.125,0.04081632653061225,0.9423997034144342,0.12142118271199988
620,Hibrido,50,10,0.0,0.0,0.0,,0.0
